----------------------------------------
Begin Torque Prologue on nid25333
at Sat Oct 27 11:19:58 CDT 2018
Job Id:			9149709.bw
Username:		tra437
Group:			TRAIN_bauh
Job name:		ACG
Requested resources:	nodes=1:ppn=16:xk,walltime=45:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.127 elapsed
----------------------------------------




Files already downloaded and verified
Epoch 0: test_acc: 30.2413%, epoch_time: 542.15
Epoch 1: test_acc: 36.8572%, epoch_time: 535.29
Epoch 2: test_acc: 43.5621%, epoch_time: 534.32
Epoch 3: test_acc: 48.0617%, epoch_time: 534.66
Epoch 4: test_acc: 49.9506%, epoch_time: 534.41
Epoch 5: test_acc: 52.9767%, epoch_time: 534.30
Epoch 6: test_acc: 55.4490%, epoch_time: 534.38
Epoch 7: test_acc: 54.6381%, epoch_time: 534.75
Epoch 8: test_acc: 58.3564%, epoch_time: 534.80
Epoch 9: test_acc: 61.1650%, epoch_time: 534.69
Epoch 10: test_acc: 62.9450%, epoch_time: 534.60
Epoch 11: test_acc: 61.3627%, epoch_time: 534.73
Epoch 12: test_acc: 63.7362%, epoch_time: 534.59
Epoch 13: test_acc: 65.6151%, epoch_time: 534.88
Epoch 14: test_acc: 62.5099%, epoch_time: 534.79
Epoch 15: test_acc: 64.6559%, epoch_time: 534.76
Epoch 16: test_acc: 60.6606%, epoch_time: 534.43
Epoch 17: test_acc: 68.4237%, epoch_time: 534.44
Epoch 18: test_acc: 68.3940%, epoch_time: 534.83
Epoch 19: test_acc: 66.6436%, epoch_time: 534.64
Epoch 20: test_acc: 67.9094%, epoch_time: 534.89
Epoch 21: test_acc: 68.1665%, epoch_time: 534.50
Epoch 22: test_acc: 67.2172%, epoch_time: 534.69
Epoch 23: test_acc: 70.6388%, epoch_time: 534.34
Epoch 24: test_acc: 70.4905%, epoch_time: 534.52
Epoch 25: test_acc: 70.0949%, epoch_time: 534.59
Epoch 26: test_acc: 72.0036%, epoch_time: 534.16
Epoch 27: test_acc: 70.3422%, epoch_time: 534.77
Epoch 28: test_acc: 68.8489%, epoch_time: 534.70
Epoch 29: test_acc: 70.9454%, epoch_time: 534.57
Epoch 30: test_acc: 73.0123%, epoch_time: 534.73
Epoch 31: test_acc: 70.6883%, epoch_time: 534.44
Epoch 32: test_acc: 74.9407%, epoch_time: 534.96
Epoch 33: test_acc: 74.1693%, epoch_time: 534.27
Epoch 34: test_acc: 68.8687%, epoch_time: 534.47
Epoch 35: test_acc: 74.2286%, epoch_time: 534.53
Epoch 36: test_acc: 74.6737%, epoch_time: 535.72
Epoch 37: test_acc: 73.9616%, epoch_time: 534.50
Epoch 38: test_acc: 73.5463%, epoch_time: 534.91
Epoch 39: test_acc: 75.1088%, epoch_time: 534.52
Epoch 40: test_acc: 73.2595%, epoch_time: 534.84
Epoch 41: test_acc: 74.8418%, epoch_time: 534.46
Epoch 42: test_acc: 73.4276%, epoch_time: 534.72
Epoch 43: test_acc: 75.2275%, epoch_time: 534.48
Epoch 44: test_acc: 75.9790%, epoch_time: 534.63
Epoch 45: test_acc: 76.3252%, epoch_time: 534.82
Epoch 46: test_acc: 74.7033%, epoch_time: 534.51
Epoch 47: test_acc: 74.4858%, epoch_time: 534.65
Epoch 48: test_acc: 75.5637%, epoch_time: 534.80
Epoch 49: test_acc: 74.8714%, epoch_time: 534.73
Epoch 50: test_acc: 75.8208%, epoch_time: 534.36
Epoch 51: test_acc: 76.8691%, epoch_time: 534.37
Epoch 52: test_acc: 78.1250%, epoch_time: 534.67
Epoch 53: test_acc: 77.8184%, epoch_time: 534.48
Epoch 54: test_acc: 78.4909%, epoch_time: 534.71
Epoch 55: test_acc: 77.2844%, epoch_time: 535.14
Epoch 56: test_acc: 77.7097%, epoch_time: 534.76
Epoch 57: test_acc: 77.6998%, epoch_time: 534.85
Epoch 58: test_acc: 78.6392%, epoch_time: 534.43
Epoch 59: test_acc: 77.6108%, epoch_time: 534.68
Epoch 60: test_acc: 74.8517%, epoch_time: 534.48
Epoch 61: test_acc: 79.4403%, epoch_time: 534.43
Epoch 62: test_acc: 77.5415%, epoch_time: 534.84
Epoch 63: test_acc: 78.1349%, epoch_time: 534.81
Epoch 64: test_acc: 78.5601%, epoch_time: 534.77
Epoch 65: test_acc: 78.7678%, epoch_time: 534.41
Epoch 66: test_acc: 77.8679%, epoch_time: 534.58
Epoch 67: test_acc: 79.0348%, epoch_time: 534.39
Epoch 68: test_acc: 78.4513%, epoch_time: 534.28
