Epoch 0: training accuracy: 67.1680%, loss: 0.601028, time: 17.92 seconds, test accuracy 74.2880%, time: 5.55 seconds
Epoch 1: training accuracy: 75.2560%, loss: 0.510679, time: 16.80 seconds, test accuracy 76.6960%, time: 5.55 seconds
Epoch 2: training accuracy: 77.5200%, loss: 0.477039, time: 16.80 seconds, test accuracy 78.1040%, time: 5.56 seconds
Epoch 3: training accuracy: 78.6840%, loss: 0.459617, time: 16.80 seconds, test accuracy 78.0480%, time: 5.55 seconds
Epoch 4: training accuracy: 79.5440%, loss: 0.442914, time: 16.80 seconds, test accuracy 78.9120%, time: 5.55 seconds
Epoch 5: training accuracy: 79.9760%, loss: 0.432605, time: 16.80 seconds, test accuracy 78.9000%, time: 5.55 seconds
Epoch 6: training accuracy: 80.6120%, loss: 0.422489, time: 16.80 seconds, test accuracy 78.3680%, time: 5.54 seconds
Epoch 7: training accuracy: 80.9440%, loss: 0.414050, time: 16.78 seconds, test accuracy 79.2120%, time: 5.55 seconds
Epoch 8: training accuracy: 81.7000%, loss: 0.406778, time: 16.80 seconds, test accuracy 79.1960%, time: 5.56 seconds
Epoch 9: training accuracy: 81.8920%, loss: 0.398195, time: 16.80 seconds, test accuracy 78.6760%, time: 5.55 seconds
Epoch 10: training accuracy: 82.4080%, loss: 0.390913, time: 16.80 seconds, test accuracy 78.7120%, time: 5.54 seconds
Epoch 11: training accuracy: 82.8400%, loss: 0.384819, time: 16.78 seconds, test accuracy 78.9480%, time: 5.54 seconds
Epoch 12: training accuracy: 83.2120%, loss: 0.373911, time: 16.80 seconds, test accuracy 79.4680%, time: 5.55 seconds
Epoch 13: training accuracy: 83.3600%, loss: 0.372480, time: 16.80 seconds, test accuracy 79.0160%, time: 5.55 seconds
Epoch 14: training accuracy: 83.8920%, loss: 0.363738, time: 16.80 seconds, test accuracy 78.5760%, time: 5.55 seconds
Epoch 15: training accuracy: 84.0960%, loss: 0.356733, time: 16.78 seconds, test accuracy 79.9520%, time: 5.54 seconds
Epoch 16: training accuracy: 84.3000%, loss: 0.355291, time: 16.78 seconds, test accuracy 79.2600%, time: 5.54 seconds
Epoch 17: training accuracy: 84.6480%, loss: 0.345951, time: 16.78 seconds, test accuracy 79.5000%, time: 5.54 seconds
Epoch 18: training accuracy: 85.1960%, loss: 0.339365, time: 16.78 seconds, test accuracy 79.5560%, time: 5.54 seconds
Epoch 19: training accuracy: 85.4240%, loss: 0.334065, time: 16.78 seconds, test accuracy 79.6240%, time: 5.54 seconds
Epoch 20: training accuracy: 85.6960%, loss: 0.324105, time: 16.78 seconds, test accuracy 79.7800%, time: 5.53 seconds
Epoch 21: training accuracy: 85.8480%, loss: 0.322860, time: 16.78 seconds, test accuracy 80.0840%, time: 5.54 seconds
Epoch 22: training accuracy: 86.3800%, loss: 0.318626, time: 16.78 seconds, test accuracy 79.9560%, time: 5.54 seconds
Epoch 23: training accuracy: 86.8720%, loss: 0.310597, time: 16.78 seconds, test accuracy 79.8280%, time: 5.54 seconds
Epoch 24: training accuracy: 86.7040%, loss: 0.304776, time: 16.79 seconds, test accuracy 80.2320%, time: 5.56 seconds
Epoch 25: training accuracy: 87.4200%, loss: 0.294393, time: 16.81 seconds, test accuracy 79.7880%, time: 5.56 seconds
Epoch 26: training accuracy: 87.8840%, loss: 0.291132, time: 16.81 seconds, test accuracy 80.1880%, time: 5.56 seconds
Epoch 27: training accuracy: 87.7240%, loss: 0.288989, time: 16.80 seconds, test accuracy 80.2080%, time: 5.56 seconds
Epoch 28: training accuracy: 88.1160%, loss: 0.278206, time: 16.80 seconds, test accuracy 79.8720%, time: 5.55 seconds
Epoch 29: training accuracy: 88.3240%, loss: 0.273737, time: 16.80 seconds, test accuracy 80.3600%, time: 5.55 seconds
Epoch 30: training accuracy: 88.8040%, loss: 0.267236, time: 16.80 seconds, test accuracy 79.9160%, time: 5.55 seconds
Epoch 31: training accuracy: 89.2160%, loss: 0.261009, time: 16.80 seconds, test accuracy 79.9680%, time: 5.55 seconds
Epoch 32: training accuracy: 89.2760%, loss: 0.258447, time: 16.80 seconds, test accuracy 80.2240%, time: 5.56 seconds
Epoch 33: training accuracy: 89.5680%, loss: 0.252753, time: 16.80 seconds, test accuracy 80.2720%, time: 5.56 seconds
Epoch 34: training accuracy: 89.5520%, loss: 0.250288, time: 16.80 seconds, test accuracy 80.5480%, time: 5.55 seconds
Epoch 35: training accuracy: 89.7000%, loss: 0.245732, time: 16.80 seconds, test accuracy 80.3920%, time: 5.56 seconds
Epoch 36: training accuracy: 90.2480%, loss: 0.237317, time: 16.80 seconds, test accuracy 80.5160%, time: 5.55 seconds
Epoch 37: training accuracy: 90.3400%, loss: 0.234460, time: 16.80 seconds, test accuracy 80.2520%, time: 5.55 seconds
Epoch 38: training accuracy: 91.0520%, loss: 0.224532, time: 16.80 seconds, test accuracy 80.6000%, time: 5.55 seconds
Epoch 39: training accuracy: 90.9520%, loss: 0.220500, time: 16.80 seconds, test accuracy 80.1800%, time: 5.55 seconds
