Epoch 0: training accuracy: 79.3400%, loss: 0.452182, time: 1.63 seconds, Epoch 0: test accuracy 82.4840%, time: 0.26 seconds
Epoch 1: training accuracy: 84.2600%, loss: 0.363930, time: 0.52 seconds, Epoch 1: test accuracy 83.8080%, time: 0.26 seconds
Epoch 2: training accuracy: 85.2400%, loss: 0.343315, time: 0.52 seconds, Epoch 2: test accuracy 73.2240%, time: 0.26 seconds
Epoch 3: training accuracy: 85.8480%, loss: 0.335499, time: 0.52 seconds, Epoch 3: test accuracy 78.2400%, time: 0.26 seconds
Epoch 4: training accuracy: 86.0360%, loss: 0.326494, time: 0.52 seconds, Epoch 4: test accuracy 79.2760%, time: 0.26 seconds
Epoch 5: training accuracy: 86.3560%, loss: 0.324389, time: 0.52 seconds, Epoch 5: test accuracy 80.4240%, time: 0.26 seconds
Epoch 6: training accuracy: 86.6640%, loss: 0.317336, time: 0.52 seconds, Epoch 6: test accuracy 80.7600%, time: 0.26 seconds
Epoch 7: training accuracy: 86.7200%, loss: 0.315430, time: 0.52 seconds, Epoch 7: test accuracy 85.0640%, time: 0.26 seconds
Epoch 8: training accuracy: 87.1680%, loss: 0.310538, time: 0.52 seconds, Epoch 8: test accuracy 82.9440%, time: 0.26 seconds
Epoch 9: training accuracy: 86.9680%, loss: 0.308361, time: 0.52 seconds, Epoch 9: test accuracy 85.7080%, time: 0.26 seconds
Epoch 10: training accuracy: 87.2800%, loss: 0.305778, time: 0.52 seconds, Epoch 10: test accuracy 85.5000%, time: 0.26 seconds
Epoch 11: training accuracy: 87.3840%, loss: 0.300520, time: 0.52 seconds, Epoch 11: test accuracy 85.3000%, time: 0.26 seconds
Epoch 12: training accuracy: 87.6160%, loss: 0.296428, time: 0.52 seconds, Epoch 12: test accuracy 85.9320%, time: 0.26 seconds
Epoch 13: training accuracy: 87.6520%, loss: 0.296780, time: 0.52 seconds, Epoch 13: test accuracy 85.8400%, time: 0.26 seconds
Epoch 14: training accuracy: 87.7240%, loss: 0.291775, time: 0.52 seconds, Epoch 14: test accuracy 85.5640%, time: 0.26 seconds
Epoch 15: training accuracy: 88.0600%, loss: 0.288615, time: 0.52 seconds, Epoch 15: test accuracy 80.7960%, time: 0.26 seconds
Epoch 16: training accuracy: 88.0320%, loss: 0.289473, time: 0.52 seconds, Epoch 16: test accuracy 80.0560%, time: 0.26 seconds
Epoch 17: training accuracy: 88.0200%, loss: 0.286172, time: 0.52 seconds, Epoch 17: test accuracy 82.1880%, time: 0.26 seconds
Epoch 18: training accuracy: 88.2520%, loss: 0.281143, time: 0.52 seconds, Epoch 18: test accuracy 81.2760%, time: 0.26 seconds
Epoch 19: training accuracy: 88.3960%, loss: 0.281845, time: 0.52 seconds, Epoch 19: test accuracy 84.4080%, time: 0.26 seconds
Epoch 20: training accuracy: 88.4560%, loss: 0.278773, time: 0.52 seconds, Epoch 20: test accuracy 85.8040%, time: 0.26 seconds
Epoch 21: training accuracy: 88.2720%, loss: 0.278470, time: 0.52 seconds, Epoch 21: test accuracy 85.0120%, time: 0.26 seconds
Epoch 22: training accuracy: 88.4760%, loss: 0.275133, time: 0.52 seconds, Epoch 22: test accuracy 85.9480%, time: 0.26 seconds
Epoch 23: training accuracy: 88.3080%, loss: 0.274748, time: 0.52 seconds, Epoch 23: test accuracy 84.4640%, time: 0.26 seconds
Epoch 24: training accuracy: 88.7040%, loss: 0.273232, time: 0.52 seconds, Epoch 24: test accuracy 78.9040%, time: 0.26 seconds
Epoch 25: training accuracy: 88.9320%, loss: 0.269421, time: 0.52 seconds, Epoch 25: test accuracy 84.9440%, time: 0.26 seconds
Epoch 26: training accuracy: 89.0280%, loss: 0.265017, time: 0.52 seconds, Epoch 26: test accuracy 86.2160%, time: 0.26 seconds
Epoch 27: training accuracy: 89.1600%, loss: 0.262303, time: 0.52 seconds, Epoch 27: test accuracy 83.8880%, time: 0.26 seconds
Epoch 28: training accuracy: 89.4120%, loss: 0.260416, time: 0.52 seconds, Epoch 28: test accuracy 79.3480%, time: 0.26 seconds
Epoch 29: training accuracy: 89.1920%, loss: 0.261347, time: 0.52 seconds, Epoch 29: test accuracy 82.7360%, time: 0.26 seconds
Epoch 30: training accuracy: 89.3600%, loss: 0.256290, time: 0.52 seconds, Epoch 30: test accuracy 83.1880%, time: 0.26 seconds
Epoch 31: training accuracy: 89.4560%, loss: 0.256738, time: 0.52 seconds, Epoch 31: test accuracy 85.8080%, time: 0.26 seconds
Epoch 32: training accuracy: 89.4360%, loss: 0.257592, time: 0.52 seconds, Epoch 32: test accuracy 85.8840%, time: 0.26 seconds
Epoch 33: training accuracy: 89.6120%, loss: 0.252281, time: 0.52 seconds, Epoch 33: test accuracy 76.5760%, time: 0.26 seconds
Epoch 34: training accuracy: 89.5800%, loss: 0.250304, time: 0.52 seconds, Epoch 34: test accuracy 76.6560%, time: 0.26 seconds
Epoch 35: training accuracy: 89.6640%, loss: 0.250773, time: 0.52 seconds, Epoch 35: test accuracy 82.9160%, time: 0.26 seconds
Epoch 36: training accuracy: 90.0840%, loss: 0.246768, time: 0.52 seconds, Epoch 36: test accuracy 70.7960%, time: 0.26 seconds
Epoch 37: training accuracy: 89.9400%, loss: 0.246703, time: 0.52 seconds, Epoch 37: test accuracy 80.4400%, time: 0.26 seconds
Epoch 38: training accuracy: 90.0200%, loss: 0.242431, time: 0.52 seconds, Epoch 38: test accuracy 83.9280%, time: 0.26 seconds
Epoch 39: training accuracy: 90.1520%, loss: 0.239707, time: 0.52 seconds, Epoch 39: test accuracy 80.5520%, time: 0.26 seconds
